"Sample_name","Population","Selection","Criollo","Nacional","Amelonado","Purús","Marañon","Curaray","Contamana","Guiana","Iquitos","Nanay"
"Yali_2","Antioquia","Colombia",0.463,7e-04,0.5273,0.0015,0.0016,9e-04,6e-04,0.0014,0.0014,0.0016
"Yali_7","Antioquia","Colombia",0.0086,0.001,0.4714,0.2253,0.0046,0.0061,0.0089,0.0059,0.0214,0.247
"Yali_4","Antioquia","Colombia",0.0095,0.4803,0.451,0.021,0.0124,0.0027,0.0017,0.0104,0.0038,0.0074
"Yali_5","Antioquia","Colombia",0.3401,0.0041,0.4093,0.0458,0.1184,0.0081,0.0429,0.0037,0.0194,0.0081
"Yali_1","Antioquia","Colombia",0.2216,0.0064,0.3903,0.0333,0.0029,0.003,0.0034,0.0029,0.1191,0.2171
"Yali_3","Antioquia","Colombia",0.1915,0.0013,0.3556,0.001,0.0185,0.0018,0.0023,0.0087,0.4169,0.0023
"Yali_6","Antioquia","Colombia",0.0907,8e-04,0.3446,0.0018,0.5522,0.0012,0.0011,0.0018,0.0027,0.0032
"C1-4","Huila","Colombia",0.2667,0.0022,0.5473,0.0037,0.004,0.0021,0.143,0.0057,0.0059,0.0194
"C1-5","Huila","Colombia",0.4811,6e-04,0.5089,0.0013,0.0018,9e-04,6e-04,0.0013,0.0011,0.0024
"C1-1","Huila","Colombia",0.2127,0.0016,0.3301,0.001,0.0152,0.0021,0.0021,0.0065,0.4261,0.0027
"C1-3","Huila","Colombia",0.1831,0.0023,0.3207,0.0051,0.0021,0.0028,0.4781,0.0014,0.0029,0.0015
"C1-2","Huila","Colombia",0.2795,0.0016,0.306,0.0031,0.0135,0.0037,0.1981,0.0044,0.0657,0.1245
"C2-12","Santander","Colombia",0.0902,0.0169,0.5701,0.0094,0.0236,0.1019,0.1658,0.0064,0.0067,0.0091
"C2-2","Santander","Colombia",0.473,7e-04,0.5176,0.0013,0.0016,0.001,6e-04,0.0013,0.0014,0.0016
"C2-10","Santander","Colombia",0.5253,6e-04,0.4663,0.001,0.0017,0.001,6e-04,0.001,0.0011,0.0014
"C2-7","Santander","Colombia",0.0076,0.0036,0.4126,0.0061,0.0015,0.0036,0.1855,0.0016,0.3716,0.0064
"C2-9","Santander","Colombia",0.0268,0.001,0.3762,0.0013,0.5353,0.0029,0.0032,0.0077,0.0348,0.0108
"C2-5","Santander","Colombia",0.094,0.0017,0.3609,0.0063,0.0059,0.0049,0.5147,0.0025,0.0061,0.003
"C2-3","Santander","Colombia",0.114,0.0011,0.3406,0.0011,0.5333,0.0017,0.001,0.0016,0.0023,0.0033
"C2-11","Santander","Colombia",0.2141,0.0016,0.3252,0.001,0.0155,0.0021,0.0022,0.0067,0.4288,0.0029
"C2-8","Santander","Colombia",0.1515,0.0022,0.2771,0.0022,0.0028,0.0024,0.5522,0.0022,0.0038,0.0034
"C2-6","Santander","Colombia",0.0187,0.0038,0.1395,0.0013,0.1371,0.0058,0.0935,0.003,0.5904,0.0069
"C2-1","Santander","Colombia",0.0188,0.0036,0.1378,0.0013,0.1396,0.0059,0.0932,0.0028,0.5904,0.0066
"C2-4","Santander","Colombia",0.1114,0.0075,0.0865,0.0303,0.0015,0.0045,0.1908,0.0011,0.562,0.0044
"134_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.2574,7e-04,0.7325,0.0021,0.0014,0.001,6e-04,9e-04,0.0021,0.0012
"164_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.2573,7e-04,0.7325,0.0022,0.0014,0.001,6e-04,9e-04,0.0021,0.0012
"154_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.2759,0.0011,0.7058,0.0015,0.0072,0.0016,0.0014,0.0025,0.0016,0.0015
"124_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.2759,0.0011,0.7054,0.0015,0.0076,0.0016,0.0014,0.0025,0.0016,0.0014
"119_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.3135,6e-04,0.6769,0.0022,0.0019,0.0011,6e-04,0.0011,9e-04,0.0013
"149_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.3133,6e-04,0.6769,0.0022,0.0019,0.001,6e-04,0.0011,0.001,0.0013
"169_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.3129,7e-04,0.6733,7e-04,0.0043,0.0011,7e-04,0.0033,0.0013,0.0018
"139_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.3124,7e-04,0.6733,7e-04,0.0045,0.0011,7e-04,0.0036,0.0012,0.0017
"160_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.3451,6e-04,0.6439,0.0019,0.0017,7e-04,5e-04,0.0016,0.0022,0.0018
"130_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.345,6e-04,0.6439,0.0018,0.0017,6e-04,5e-04,0.0016,0.0022,0.0021
"171_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.3779,6e-04,0.6133,0.0011,0.0017,9e-04,6e-04,0.0014,0.0012,0.0013
"141_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.3782,6e-04,0.6131,0.0012,0.0017,9e-04,5e-04,0.0014,0.0013,0.0013
"138_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.3867,6e-04,0.6034,0.0012,0.0025,0.0014,7e-04,0.0015,8e-04,0.0013
"168_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.3866,6e-04,0.6034,0.0012,0.0027,0.0014,7e-04,0.0013,8e-04,0.0012
"148_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.3841,9e-04,0.5983,0.0038,0.0052,0.0013,9e-04,0.0015,0.0013,0.0028
"118_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.3846,9e-04,0.5979,0.0039,0.005,0.0013,9e-04,0.0015,0.0012,0.0028
"155_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.3944,6e-04,0.5943,9e-04,0.0026,9e-04,7e-04,0.0015,0.0011,0.003
"125_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.3941,6e-04,0.5943,0.001,0.0027,9e-04,7e-04,0.0016,0.001,0.003
"165_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.4078,9e-04,0.581,0.0013,0.0023,0.0012,6e-04,0.0014,0.0011,0.0024
"135_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.4076,9e-04,0.581,0.0014,0.0021,0.0012,6e-04,0.0014,0.0012,0.0025
"151_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.4546,7e-04,0.5351,0.0022,0.0015,0.001,6e-04,9e-04,0.002,0.0015
"121_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.4544,7e-04,0.535,0.0022,0.0014,0.001,6e-04,0.001,0.0019,0.0017
"117_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.4659,7e-04,0.5246,7e-04,0.002,8e-04,5e-04,0.0025,7e-04,0.0016
"147_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.4661,7e-04,0.5241,6e-04,0.0021,9e-04,5e-04,0.0027,7e-04,0.0017
"152_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.4742,7e-04,0.516,0.0014,0.0018,9e-04,6e-04,0.0014,0.0014,0.0016
"122_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.474,7e-04,0.516,0.0014,0.0018,9e-04,6e-04,0.0013,0.0014,0.0018
"143_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.4777,8e-04,0.5096,0.002,0.0029,0.0012,7e-04,0.0014,0.0014,0.0023
"113_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.4779,8e-04,0.5093,0.0021,0.003,0.0012,7e-04,0.0014,0.0013,0.0023
"161_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.481,7e-04,0.5084,0.0013,0.0021,9e-04,6e-04,0.0016,0.0013,0.0022
"131_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.4806,7e-04,0.5084,0.0013,0.002,9e-04,6e-04,0.0015,0.0013,0.0026
"146_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.4821,7e-04,0.5072,0.0013,0.002,0.001,6e-04,0.0014,0.0012,0.0026
"116_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.4821,7e-04,0.5071,0.0013,0.0021,0.001,6e-04,0.0015,0.0013,0.0023
"163_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.4862,7e-04,0.5037,0.0017,0.0015,0.0012,6e-04,0.001,0.0015,0.0018
"133_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.4864,7e-04,0.5036,0.0017,0.0014,0.0011,6e-04,0.0011,0.0015,0.0019
"136_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.4866,8e-04,0.5011,0.001,0.0023,0.001,6e-04,0.0031,9e-04,0.0026
"166_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.4866,8e-04,0.501,0.0011,0.0022,0.001,6e-04,0.0033,9e-04,0.0024
"157_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.4898,8e-04,0.4977,0.0018,0.0029,0.0014,7e-04,0.0013,0.0014,0.0022
"127_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.4899,8e-04,0.4976,0.0018,0.0028,0.0013,7e-04,0.0012,0.0014,0.0025
"159_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.491,0.001,0.4959,0.002,0.0031,0.0015,7e-04,0.0016,0.0012,0.0019
"129_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.4913,9e-04,0.4955,0.0021,0.003,0.0014,7e-04,0.0016,0.0014,0.002
"140_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.5124,5e-04,0.4788,0.001,0.0015,7e-04,4e-04,0.0011,0.001,0.0026
"170_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.5123,5e-04,0.4788,0.001,0.0015,7e-04,4e-04,0.0011,0.001,0.0027
"114_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.5083,8e-04,0.4783,0.0019,0.0015,0.0015,7e-04,0.001,0.0012,0.0048
"120_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.5138,6e-04,0.4782,0.001,0.0013,0.001,6e-04,0.001,8e-04,0.0016
"150_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.5138,6e-04,0.4782,0.001,0.0014,9e-04,6e-04,9e-04,9e-04,0.0016
"144_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.5087,8e-04,0.4778,0.0018,0.0014,0.0014,7e-04,0.0011,0.0012,0.0051
"172_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.508,8e-04,0.4752,0.002,0.0028,0.0013,7e-04,0.0017,0.0015,0.0062
"142_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.5079,8e-04,0.4749,0.0021,0.0026,0.0013,7e-04,0.0017,0.0015,0.0066
"162_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.5261,6e-04,0.467,0.001,0.001,0.001,8e-04,8e-04,8e-04,0.001
"132_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.5262,6e-04,0.4668,9e-04,0.001,0.001,8e-04,8e-04,8e-04,0.0011
"137_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.525,6e-04,0.4665,0.0011,0.0017,0.001,6e-04,0.0011,0.0011,0.0015
"167_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.5252,6e-04,0.4662,0.0011,0.0017,9e-04,6e-04,0.0011,0.0011,0.0015
"115_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.5611,6e-04,0.4232,0.0013,0.0022,0.0012,5e-04,0.001,0.0012,0.0076
"145_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.561,6e-04,0.4232,0.0012,0.0022,0.0013,5e-04,0.001,0.0013,0.0074
"156_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.5728,6e-04,0.4184,0.0013,0.0017,8e-04,6e-04,0.0015,9e-04,0.0013
"126_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.5726,6e-04,0.4184,0.0013,0.0017,8e-04,6e-04,0.0015,0.001,0.0014
"123_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.6054,0.0012,0.365,0.0023,0.0112,0.002,0.001,0.003,0.0044,0.0045
"153_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.6046,0.0011,0.361,0.0023,0.0158,0.002,0.001,0.0033,0.0046,0.0042
"128_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.6272,7e-04,0.3574,0.0014,0.0066,0.0012,6e-04,0.0014,0.0016,0.0018
"158_AM-CRO","Amelonado-Criollo","Amelonado-Criollo",0.6271,7e-04,0.3573,0.0013,0.0069,0.0013,6e-04,0.0015,0.0016,0.0017
"1_AM","Reference","Reference",2e-04,3e-04,0.9965,3e-04,6e-04,2e-04,2e-04,4e-04,5e-04,7e-04
"9_AM","Reference","Reference",3e-04,3e-04,0.9965,3e-04,6e-04,2e-04,2e-04,4e-04,5e-04,7e-04
"29_AM","Reference","Reference",2e-04,3e-04,0.9965,3e-04,6e-04,2e-04,2e-04,4e-04,5e-04,7e-04
"37_AM","Reference","Reference",3e-04,3e-04,0.9965,3e-04,6e-04,2e-04,2e-04,4e-04,5e-04,7e-04
"42_AM","Reference","Reference",2e-04,2e-04,0.9965,3e-04,6e-04,2e-04,2e-04,4e-04,5e-04,7e-04
"57_AM","Reference","Reference",2e-04,3e-04,0.9965,3e-04,6e-04,2e-04,2e-04,4e-04,5e-04,7e-04
"65_AM","Reference","Reference",3e-04,3e-04,0.9965,3e-04,5e-04,2e-04,2e-04,4e-04,5e-04,7e-04
"70_AM","Reference","Reference",3e-04,3e-04,0.9965,3e-04,6e-04,2e-04,2e-04,4e-04,5e-04,8e-04
"85_AM","Reference","Reference",2e-04,3e-04,0.9965,3e-04,6e-04,2e-04,2e-04,4e-04,4e-04,7e-04
"93_AM","Reference","Reference",3e-04,2e-04,0.9965,3e-04,6e-04,2e-04,2e-04,4e-04,5e-04,7e-04
"98_AM","Reference","Reference",2e-04,3e-04,0.9965,3e-04,6e-04,2e-04,2e-04,4e-04,5e-04,8e-04
"14_AM","Reference","Reference",2e-04,3e-04,0.9964,3e-04,6e-04,2e-04,2e-04,4e-04,4e-04,8e-04
"4_AM","Reference","Reference",3e-04,3e-04,0.996,4e-04,7e-04,3e-04,3e-04,5e-04,5e-04,0.001
"60_AM","Reference","Reference",3e-04,3e-04,0.996,4e-04,6e-04,3e-04,3e-04,5e-04,5e-04,0.001
"88_AM","Reference","Reference",3e-04,3e-04,0.996,4e-04,7e-04,3e-04,3e-04,5e-04,5e-04,9e-04
"32_AM","Reference","Reference",3e-04,3e-04,0.9959,4e-04,7e-04,3e-04,3e-04,5e-04,5e-04,0.001
"3_AM","Reference","Reference",3e-04,3e-04,0.9955,5e-04,9e-04,3e-04,3e-04,5e-04,5e-04,9e-04
"31_AM","Reference","Reference",3e-04,3e-04,0.9955,5e-04,9e-04,3e-04,3e-04,5e-04,6e-04,9e-04
"59_AM","Reference","Reference",3e-04,3e-04,0.9955,4e-04,8e-04,3e-04,3e-04,5e-04,5e-04,0.001
"87_AM","Reference","Reference",3e-04,3e-04,0.9954,5e-04,8e-04,3e-04,3e-04,5e-04,6e-04,9e-04
"8_AM","Reference","Reference",3e-04,3e-04,0.9953,3e-04,0.0012,3e-04,5e-04,7e-04,5e-04,6e-04
"36_AM","Reference","Reference",3e-04,3e-04,0.9953,4e-04,0.0013,3e-04,5e-04,7e-04,5e-04,6e-04
"64_AM","Reference","Reference",3e-04,3e-04,0.9953,4e-04,0.0012,3e-04,5e-04,7e-04,5e-04,6e-04
"92_AM","Reference","Reference",3e-04,3e-04,0.9953,4e-04,0.0011,3e-04,5e-04,7e-04,5e-04,6e-04
"106_AM","Reference","Reference",7e-04,5e-04,0.9936,5e-04,0.001,6e-04,5e-04,0.0014,5e-04,8e-04
"22_AM","Reference","Reference",7e-04,5e-04,0.9935,5e-04,0.001,6e-04,5e-04,0.0014,5e-04,9e-04
"50_AM","Reference","Reference",7e-04,5e-04,0.9935,5e-04,0.001,6e-04,5e-04,0.0014,5e-04,8e-04
"78_AM","Reference","Reference",7e-04,5e-04,0.9935,5e-04,0.0011,6e-04,5e-04,0.0014,5e-04,9e-04
"15_AM","Reference","Reference",0.0012,5e-04,0.9903,8e-04,0.002,7e-04,3e-04,7e-04,0.001,0.0025
"43_AM","Reference","Reference",0.0012,5e-04,0.9903,8e-04,0.0021,7e-04,4e-04,7e-04,0.001,0.0024
"99_AM","Reference","Reference",0.0012,5e-04,0.9903,8e-04,0.0021,7e-04,4e-04,7e-04,9e-04,0.0025
"71_AM","Reference","Reference",0.0012,5e-04,0.9902,8e-04,0.0022,7e-04,4e-04,7e-04,9e-04,0.0024
"19_AM","Reference","Reference",0.0135,0.0018,0.9596,0.008,0.0019,0.0064,0.0031,0.0016,6e-04,0.0035
"75_AM","Reference","Reference",0.014,0.0017,0.9592,0.0081,0.0018,0.0062,0.0032,0.0017,6e-04,0.0036
"47_AM","Reference","Reference",0.0141,0.0019,0.9591,0.0086,0.0019,0.0056,0.0031,0.0017,6e-04,0.0035
"103_AM","Reference","Reference",0.0133,0.0018,0.959,0.0087,0.002,0.0062,0.0029,0.0017,6e-04,0.0039
"16_AM","Reference","Reference",0.0133,5e-04,0.9533,0.0226,0.0013,0.001,0.0013,8e-04,0.0043,0.0015
"100_AM","Reference","Reference",0.0134,5e-04,0.9533,0.0228,0.0012,0.001,0.0012,8e-04,0.0043,0.0015
"44_AM","Reference","Reference",0.0133,5e-04,0.9532,0.0229,0.0012,0.001,0.0011,9e-04,0.0045,0.0015
"72_AM","Reference","Reference",0.0131,5e-04,0.9531,0.0234,0.0011,9e-04,0.0012,8e-04,0.0043,0.0015
"25_AM","Reference","Reference",0.0398,5e-04,0.9493,8e-04,0.0017,0.001,4e-04,0.0032,0.0015,0.0018
"53_AM","Reference","Reference",0.0398,6e-04,0.9491,8e-04,0.0016,9e-04,4e-04,0.0033,0.0015,0.0021
"81_AM","Reference","Reference",0.0397,6e-04,0.9491,8e-04,0.0018,9e-04,4e-04,0.0032,0.0014,0.002
"109_AM","Reference","Reference",0.0396,6e-04,0.9491,8e-04,0.0018,9e-04,4e-04,0.0033,0.0015,0.0019
"79_AM","Reference","Reference",0.0452,0.001,0.9436,0.0036,0.0011,0.0011,6e-04,8e-04,0.0013,0.0016
"23_AM","Reference","Reference",0.0451,0.0011,0.9435,0.0038,0.001,0.0011,6e-04,8e-04,0.0013,0.0017
"51_AM","Reference","Reference",0.0449,0.001,0.9434,0.004,0.0011,0.0012,6e-04,8e-04,0.0013,0.0016
"107_AM","Reference","Reference",0.0455,0.001,0.9434,0.0035,0.0012,0.0011,6e-04,8e-04,0.0013,0.0016
"48_AM","Reference","Reference",0.0406,0.0041,0.9221,0.0073,0.0025,0.0107,0.0032,0.0024,0.0048,0.0022
"104_AM","Reference","Reference",0.0407,0.004,0.9218,0.0071,0.0025,0.0108,0.0035,0.0024,0.0049,0.0023
"20_AM","Reference","Reference",0.04,0.0042,0.9217,0.0075,0.0026,0.0108,0.0037,0.0024,0.0049,0.0022
"76_AM","Reference","Reference",0.0394,0.0044,0.9216,0.007,0.0026,0.0109,0.0038,0.0023,0.0056,0.0022
"6_AM","Reference","Reference",0.0021,0.0063,0.9209,0.0317,0.0099,0.0181,0.0039,0.0017,0.0024,0.0031
"62_AM","Reference","Reference",0.0021,0.0063,0.9206,0.0318,0.0106,0.0179,0.0036,0.0017,0.0023,0.003
"34_AM","Reference","Reference",0.0021,0.0065,0.9204,0.0329,0.0103,0.0175,0.0036,0.0016,0.0022,0.003
"90_AM","Reference","Reference",0.002,0.006,0.9204,0.0337,0.0097,0.0176,0.0036,0.0016,0.0023,0.0031
"74_AM","Reference","Reference",0.0748,0.001,0.9157,0.0018,0.0012,0.0013,6e-04,9e-04,0.001,0.0018
"102_AM","Reference","Reference",0.075,0.001,0.9156,0.0018,0.0012,0.0012,6e-04,0.001,9e-04,0.0018
"18_AM","Reference","Reference",0.0749,0.001,0.9155,0.0018,0.0011,0.0012,6e-04,0.001,0.001,0.0018
"46_AM","Reference","Reference",0.0752,0.001,0.9153,0.0018,0.0011,0.0012,6e-04,9e-04,0.001,0.0018
"112_AM","Reference","Reference",0.0747,9e-04,0.9142,0.0031,0.001,0.0023,7e-04,5e-04,0.0015,0.0011
"84_AM","Reference","Reference",0.075,9e-04,0.9141,0.0033,0.001,0.0021,7e-04,5e-04,0.0013,0.0011
"28_AM","Reference","Reference",0.0751,9e-04,0.9139,0.0031,0.001,0.0023,6e-04,5e-04,0.0015,0.0011
"56_AM","Reference","Reference",0.0755,9e-04,0.9139,0.0031,0.001,0.002,6e-04,5e-04,0.0013,0.0011
"35_AM","Reference","Reference",7e-04,0.0021,0.9046,8e-04,0.0408,0.0018,7e-04,0.0237,0.0171,0.0078
"63_AM","Reference","Reference",7e-04,0.0021,0.904,8e-04,0.0428,0.0017,7e-04,0.0218,0.0181,0.0073
"7_AM","Reference","Reference",7e-04,0.002,0.9038,8e-04,0.0429,0.0018,7e-04,0.0225,0.0171,0.0077
"91_AM","Reference","Reference",7e-04,0.0021,0.9028,7e-04,0.0455,0.0016,7e-04,0.0215,0.0172,0.0073
"17_AM","Reference","Reference",0.0817,0.0011,0.8977,0.0021,0.0013,0.0031,6e-04,0.0012,0.0031,0.0082
"45_AM","Reference","Reference",0.0814,0.0011,0.8977,0.002,0.0014,0.0033,6e-04,0.0012,0.0032,0.0081
"73_AM","Reference","Reference",0.0816,0.0011,0.8976,0.002,0.0015,0.0031,6e-04,0.0012,0.0032,0.0082
"101_AM","Reference","Reference",0.082,0.0011,0.8976,0.002,0.0014,0.003,6e-04,0.0012,0.0033,0.0079
"86_AM","Reference","Reference",0.1035,7e-04,0.8891,5e-04,0.0013,0.001,4e-04,0.001,0.0013,0.001
"30_AM","Reference","Reference",0.1038,6e-04,0.8889,5e-04,0.0013,9e-04,4e-04,0.001,0.0014,0.0011
"58_AM","Reference","Reference",0.1036,7e-04,0.8888,5e-04,0.0014,0.001,4e-04,0.001,0.0015,0.0011
"2_AM","Reference","Reference",0.1039,6e-04,0.8887,5e-04,0.0015,0.001,4e-04,0.001,0.0014,0.001
"21_AM","Reference","Reference",0.0991,7e-04,0.8886,0.0024,0.0021,0.0012,0.0014,0.0011,0.0015,0.0019
"105_AM","Reference","Reference",0.0989,7e-04,0.8885,0.0023,0.0022,0.0012,0.0012,0.0011,0.0016,0.0022
"49_AM","Reference","Reference",0.0993,8e-04,0.8883,0.0023,0.0023,0.0012,0.0013,0.0011,0.0015,0.002
"77_AM","Reference","Reference",0.0992,7e-04,0.8883,0.0023,0.0022,0.0011,0.0014,0.0011,0.0016,0.002
"110_AM","Reference","Reference",0.0656,0.007,0.88,0.0025,0.0039,0.0243,0.0026,0.0094,0.0015,0.0032
"54_AM","Reference","Reference",0.0654,0.0067,0.8798,0.0026,0.0041,0.0239,0.0024,0.0108,0.0014,0.0031
"26_AM","Reference","Reference",0.0659,0.0071,0.8797,0.0023,0.0042,0.0233,0.0024,0.0105,0.0015,0.0031
"82_AM","Reference","Reference",0.0648,0.0073,0.8796,0.0024,0.0044,0.0244,0.0025,0.01,0.0016,0.0031
"24_AM","Reference","Reference",0.0794,8e-04,0.8739,0.0318,0.0025,0.0027,0.0019,0.0015,0.0016,0.0039
"80_AM","Reference","Reference",0.0792,0.001,0.8739,0.0313,0.0027,0.003,0.0019,0.0015,0.0014,0.0042
"108_AM","Reference","Reference",0.0788,8e-04,0.8734,0.0327,0.0026,0.0027,0.0019,0.0015,0.0015,0.0041
"52_AM","Reference","Reference",0.0784,9e-04,0.8731,0.0336,0.0027,0.0024,0.0018,0.0015,0.0014,0.0042
"27_AM","Reference","Reference",0.1122,0.0014,0.8649,8e-04,0.0015,0.0145,0.0014,0.0012,0.0012,0.001
"83_AM","Reference","Reference",0.1132,0.0014,0.8648,9e-04,0.0015,0.0136,0.0013,0.0012,0.0011,0.0011
"55_AM","Reference","Reference",0.1148,0.0014,0.8646,9e-04,0.0015,0.0123,0.0013,0.0011,0.0011,0.001
"111_AM","Reference","Reference",0.1149,0.0014,0.8646,8e-04,0.0015,0.0121,0.0013,0.0012,0.0011,0.001
"5_AM","Reference","Reference",0.0854,0.0142,0.8364,0.0062,0.0038,0.0162,0.0022,0.0025,0.0155,0.0176
"61_AM","Reference","Reference",0.0862,0.0159,0.8364,0.0059,0.0036,0.0148,0.0021,0.0022,0.0155,0.0176
"89_AM","Reference","Reference",0.0821,0.017,0.8359,0.0069,0.0039,0.016,0.0023,0.0026,0.0151,0.0182
"33_AM","Reference","Reference",0.0844,0.0147,0.8353,0.0063,0.0036,0.0153,0.0021,0.0025,0.0179,0.018
"97_AM","Reference","Reference",0.1625,9e-04,0.8255,8e-04,0.0024,0.0035,0.001,0.0011,0.0011,0.0012
"41_AM","Reference","Reference",0.1621,9e-04,0.8253,8e-04,0.0025,0.0038,0.0011,0.0011,0.0011,0.0012
"13_AM","Reference","Reference",0.1623,9e-04,0.8251,9e-04,0.0025,0.0039,9e-04,0.0011,0.0011,0.0012
"69_AM","Reference","Reference",0.1628,9e-04,0.8251,8e-04,0.0026,0.0034,9e-04,0.0012,0.0011,0.0013
"94_AM","Reference","Reference",0.1689,6e-04,0.825,5e-04,0.001,0.001,5e-04,6e-04,6e-04,0.0012
"10_AM","Reference","Reference",0.1691,6e-04,0.8248,5e-04,0.001,0.001,5e-04,6e-04,6e-04,0.0012
"38_AM","Reference","Reference",0.1688,6e-04,0.8248,6e-04,0.0011,0.0012,5e-04,7e-04,6e-04,0.0012
"66_AM","Reference","Reference",0.1689,6e-04,0.8248,5e-04,0.0011,0.0011,5e-04,7e-04,6e-04,0.0012
"39_AM","Reference","Reference",0.1784,6e-04,0.812,0.0011,0.003,9e-04,6e-04,0.001,8e-04,0.0015
"11_AM","Reference","Reference",0.1782,6e-04,0.8119,0.0011,0.0033,0.001,6e-04,0.001,8e-04,0.0015
"95_AM","Reference","Reference",0.1783,6e-04,0.8119,0.0011,0.0032,0.001,5e-04,0.001,8e-04,0.0016
"67_AM","Reference","Reference",0.1785,6e-04,0.8117,0.0011,0.0032,9e-04,6e-04,0.001,8e-04,0.0016
"12_AM","Reference","Reference",4e-04,4e-04,0.7957,0.0012,0.0031,6e-04,0.0017,0.0029,0.002,0.1918
"40_AM","Reference","Reference",4e-04,4e-04,0.7947,0.0011,0.0026,6e-04,0.0015,0.003,0.002,0.1937
"68_AM","Reference","Reference",4e-04,4e-04,0.7947,0.0012,0.0026,6e-04,0.0015,0.0031,0.0021,0.1933
"96_AM","Reference","Reference",4e-04,4e-04,0.7944,0.0012,0.0029,6e-04,0.0012,0.003,0.0018,0.1942
"212_CRO","Reference","Reference",0.9972,3e-04,2e-04,4e-04,3e-04,4e-04,3e-04,3e-04,3e-04,3e-04
"219_CRO","Reference","Reference",0.9972,3e-04,2e-04,4e-04,3e-04,4e-04,3e-04,3e-04,3e-04,3e-04
"174_CRO","Reference","Reference",0.9971,3e-04,2e-04,4e-04,3e-04,5e-04,3e-04,3e-04,3e-04,3e-04
"178_CRO","Reference","Reference",0.9971,3e-04,2e-04,4e-04,3e-04,5e-04,3e-04,3e-04,3e-04,3e-04
"179_CRO","Reference","Reference",0.9971,3e-04,2e-04,4e-04,3e-04,5e-04,3e-04,3e-04,3e-04,3e-04
"181_CRO","Reference","Reference",0.9971,3e-04,2e-04,4e-04,3e-04,5e-04,3e-04,3e-04,3e-04,3e-04
"184_CRO","Reference","Reference",0.9971,3e-04,2e-04,4e-04,3e-04,5e-04,3e-04,3e-04,3e-04,3e-04
