"Sample_name","Population","Selection","Criollo","Nacional","Amelonado","Purús","Marañon","Curaray","Contamana","Guiana","Iquitos","Nanay"
"671_NAC","Reference","Reference",0.0027,0.866,0.0746,0.0015,0.021,0.0032,0.0011,0.004,0.0031,0.0227
"746_NAC","Reference","Reference",0.0027,0.8657,0.0721,0.0014,0.0226,0.0032,0.0011,0.0041,0.0032,0.0239
"696_NAC","Reference","Reference",0.0029,0.8655,0.0717,0.0014,0.0223,0.0031,0.0012,0.0038,0.0033,0.0248
"738_NAC","Reference","Reference",0.0028,0.8655,0.0726,0.0013,0.0228,0.0032,0.0011,0.0039,0.0032,0.0237
"663_NAC","Reference","Reference",0.0027,0.8652,0.071,0.0016,0.0223,0.0034,0.0011,0.004,0.0034,0.0253
"713_NAC","Reference","Reference",0.0027,0.8652,0.0713,0.0014,0.023,0.0031,0.0011,0.0041,0.0034,0.0248
"688_NAC","Reference","Reference",0.0028,0.8649,0.0714,0.0014,0.0248,0.0034,0.0011,0.0042,0.0033,0.0227
"721_NAC","Reference","Reference",0.0028,0.8647,0.0699,0.0015,0.0252,0.003,0.0011,0.0041,0.0031,0.0246
"781_MAR","Reference","Reference",4e-04,6e-04,0.0026,6e-04,0.9897,7e-04,7e-04,0.002,9e-04,0.0018
"835_MAR","Reference","Reference",4e-04,6e-04,0.0028,6e-04,0.9895,7e-04,7e-04,0.0022,8e-04,0.0017
"754_MAR","Reference","Reference",5e-04,6e-04,0.0029,6e-04,0.9894,7e-04,7e-04,0.0022,9e-04,0.0016
"808_MAR","Reference","Reference",4e-04,6e-04,0.0028,6e-04,0.9893,7e-04,8e-04,0.0022,9e-04,0.0017
"762_MAR","Reference","Reference",6e-04,9e-04,0.0014,0.0016,0.9886,8e-04,7e-04,0.0014,0.0022,0.0018
"844_MAR","Reference","Reference",5e-04,5e-04,0.0022,7e-04,0.9886,6e-04,6e-04,0.0042,0.0011,0.001
"789_MAR","Reference","Reference",6e-04,9e-04,0.0014,0.0017,0.9885,9e-04,7e-04,0.0015,0.0022,0.0018
"790_MAR","Reference","Reference",5e-04,5e-04,0.002,7e-04,0.9885,6e-04,6e-04,0.0043,0.0011,0.0011
"816_MAR","Reference","Reference",6e-04,9e-04,0.0014,0.0017,0.9885,8e-04,7e-04,0.0016,0.0021,0.0017
"817_MAR","Reference","Reference",5e-04,5e-04,0.002,8e-04,0.9885,6e-04,6e-04,0.0045,0.0011,0.001
"843_MAR","Reference","Reference",6e-04,9e-04,0.0015,0.0016,0.9885,9e-04,6e-04,0.0015,0.0022,0.0018
"763_MAR","Reference","Reference",5e-04,5e-04,0.0022,7e-04,0.9884,6e-04,6e-04,0.0043,0.0011,0.0011
"791_MAR","Reference","Reference",6e-04,8e-04,0.0018,0.0016,0.9873,9e-04,6e-04,0.0013,0.0027,0.0024
"764_MAR","Reference","Reference",6e-04,8e-04,0.0018,0.0017,0.9872,9e-04,6e-04,0.0013,0.0027,0.0024
"845_MAR","Reference","Reference",6e-04,8e-04,0.0019,0.0016,0.9872,9e-04,6e-04,0.0014,0.0027,0.0024
"818_MAR","Reference","Reference",6e-04,8e-04,0.0018,0.0017,0.987,9e-04,6e-04,0.0014,0.0028,0.0025
"841_MAR","Reference","Reference",6e-04,5e-04,0.0039,0.001,0.9865,5e-04,5e-04,0.0027,0.0012,0.0025
"792_MAR","Reference","Reference",5e-04,5e-04,0.0012,0.0012,0.9864,6e-04,6e-04,0.006,0.0015,0.0014
"760_MAR","Reference","Reference",6e-04,5e-04,0.004,0.001,0.9863,6e-04,5e-04,0.0027,0.0011,0.0027
"765_MAR","Reference","Reference",5e-04,6e-04,0.0012,0.0012,0.9862,6e-04,7e-04,0.0061,0.0015,0.0014
"787_MAR","Reference","Reference",6e-04,5e-04,0.0042,0.001,0.9862,5e-04,5e-04,0.0028,0.0011,0.0025
"846_MAR","Reference","Reference",5e-04,5e-04,0.0011,0.0013,0.9862,6e-04,7e-04,0.0062,0.0014,0.0014
"834_MAR","Reference","Reference",9e-04,8e-04,0.0013,0.0012,0.9861,9e-04,7e-04,0.0037,0.0011,0.0033
"814_MAR","Reference","Reference",6e-04,5e-04,0.0042,0.001,0.986,5e-04,5e-04,0.0027,0.0011,0.0027
"779_MAR","Reference","Reference",5e-04,5e-04,0.0052,0.0012,0.9859,6e-04,6e-04,0.0024,0.0012,0.0017
"780_MAR","Reference","Reference",9e-04,8e-04,0.0013,0.0013,0.9859,9e-04,7e-04,0.0039,0.0011,0.0031
"819_MAR","Reference","Reference",5e-04,6e-04,0.0011,0.0013,0.9859,6e-04,7e-04,0.0065,0.0015,0.0013
"833_MAR","Reference","Reference",5e-04,5e-04,0.0053,0.0013,0.9859,6e-04,6e-04,0.0024,0.0011,0.0018
"753_MAR","Reference","Reference",9e-04,7e-04,0.0013,0.0013,0.9858,9e-04,7e-04,0.0042,0.0012,0.0031
"849_MAR","Reference","Reference",4e-04,4e-04,0.0071,6e-04,0.9858,5e-04,4e-04,0.0023,8e-04,0.0016
"806_MAR","Reference","Reference",5e-04,5e-04,0.0053,0.0013,0.9857,6e-04,6e-04,0.0024,0.0012,0.0018
"807_MAR","Reference","Reference",0.001,7e-04,0.0013,0.0012,0.9856,9e-04,7e-04,0.004,0.0011,0.0034
"752_MAR","Reference","Reference",6e-04,5e-04,0.0057,0.0013,0.9854,6e-04,7e-04,0.0025,0.0012,0.0017
"856_MAR","Reference","Reference",0.0011,0.0014,0.0013,0.0011,0.9853,0.0014,0.0011,0.0033,0.0019,0.0022
"802_MAR","Reference","Reference",0.0011,0.0015,0.0013,0.0012,0.9851,0.0013,0.0011,0.0032,0.0019,0.0023
"829_MAR","Reference","Reference",0.001,0.0015,0.0013,0.0012,0.9851,0.0013,0.0011,0.0033,0.0019,0.0023
"775_MAR","Reference","Reference",0.0011,0.0015,0.0013,0.0012,0.985,0.0013,0.0011,0.0032,0.002,0.0023
"782_MAR","Reference","Reference",5e-04,7e-04,0.002,0.0011,0.9849,7e-04,6e-04,0.0024,0.0018,0.0052
"795_MAR","Reference","Reference",4e-04,4e-04,0.0081,6e-04,0.9847,5e-04,4e-04,0.0024,8e-04,0.0016
"809_MAR","Reference","Reference",5e-04,7e-04,0.0019,0.0012,0.9847,6e-04,6e-04,0.0025,0.0019,0.0055
"768_MAR","Reference","Reference",5e-04,4e-04,0.0077,6e-04,0.9846,5e-04,5e-04,0.0026,9e-04,0.0018
"755_MAR","Reference","Reference",5e-04,7e-04,0.0021,0.0012,0.9845,7e-04,6e-04,0.0023,0.0019,0.0055
"836_MAR","Reference","Reference",5e-04,7e-04,0.0019,0.0011,0.9845,6e-04,6e-04,0.0024,0.0019,0.0058
"757_MAR","Reference","Reference",5e-04,7e-04,0.0061,7e-04,0.9844,6e-04,6e-04,0.0025,0.0016,0.0024
"838_MAR","Reference","Reference",5e-04,7e-04,0.0062,7e-04,0.9841,6e-04,5e-04,0.0026,0.0017,0.0025
"784_MAR","Reference","Reference",5e-04,7e-04,0.0062,7e-04,0.984,6e-04,5e-04,0.0028,0.0016,0.0025
"822_MAR","Reference","Reference",4e-04,4e-04,0.0083,6e-04,0.984,5e-04,5e-04,0.0026,8e-04,0.0018
"824_MAR","Reference","Reference",6e-04,0.0015,0.0012,7e-04,0.9839,9e-04,9e-04,0.0076,0.0011,0.0016
"797_MAR","Reference","Reference",6e-04,0.0016,0.0012,8e-04,0.9833,9e-04,9e-04,0.0082,0.0011,0.0015
"811_MAR","Reference","Reference",5e-04,7e-04,0.0067,7e-04,0.9833,6e-04,5e-04,0.0027,0.0016,0.0027
"851_MAR","Reference","Reference",6e-04,0.0016,0.0012,7e-04,0.9832,0.001,9e-04,0.0081,0.0012,0.0016
"770_MAR","Reference","Reference",6e-04,0.0016,0.0012,8e-04,0.9831,9e-04,9e-04,0.0081,0.0012,0.0017
"749_MAR","Reference","Reference",6e-04,8e-04,0.0019,0.0012,0.982,0.0011,0.001,0.0071,0.0018,0.0026
